,ignore_abundance,signature,id,sequence_to_compare,ksize,database,database_name,output
10,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003570_S94.signature,A10_B003570_S94_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B003570_S94_ignore-abundance=True.csv
11,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003573_S178.signature,A10_B003573_S178_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B003573_S178_ignore-abundance=True.csv
12,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003586_S298.signature,A10_B003586_S298_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B003586_S298_ignore-abundance=True.csv
13,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A10_B003588_S46.signature,A10_B003588_S46_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A10_B003588_S46_ignore-abundance=True.csv
14,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B000419_S35.signature,A11_B000419_S35_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B000419_S35_ignore-abundance=True.csv
15,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B000420_S83.signature,A11_B000420_S83_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B000420_S83_ignore-abundance=True.csv
16,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B002073_S167.signature,A11_B002073_S167_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B002073_S167_ignore-abundance=True.csv
17,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B002078_S203.signature,A11_B002078_S203_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B002078_S203_ignore-abundance=True.csv
18,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B002095_S119.signature,A11_B002095_S119_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B002095_S119_ignore-abundance=True.csv
19,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B002097_S251.signature,A11_B002097_S251_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B002097_S251_ignore-abundance=True.csv
20,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B003125_S263.signature,A11_B003125_S263_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B003125_S263_ignore-abundance=True.csv
21,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B003511_S215.signature,A11_B003511_S215_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B003511_S215_ignore-abundance=True.csv
22,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B003527_S131.signature,A11_B003527_S131_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B003527_S131_ignore-abundance=True.csv
23,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B003528_S11.signature,A11_B003528_S11_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B003528_S11_ignore-abundance=True.csv
24,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B003570_S95.signature,A11_B003570_S95_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B003570_S95_ignore-abundance=True.csv
25,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B003573_S179.signature,A11_B003573_S179_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B003573_S179_ignore-abundance=True.csv
26,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B003586_S299.signature,A11_B003586_S299_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B003586_S299_ignore-abundance=True.csv
27,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A11_B003588_S47.signature,A11_B003588_S47_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A11_B003588_S47_ignore-abundance=True.csv
28,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B000419_S36.signature,A12_B000419_S36_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B000419_S36_ignore-abundance=True.csv
29,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B000420_S84.signature,A12_B000420_S84_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B000420_S84_ignore-abundance=True.csv
30,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B002073_S168.signature,A12_B002073_S168_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B002073_S168_ignore-abundance=True.csv
31,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B002078_S204.signature,A12_B002078_S204_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B002078_S204_ignore-abundance=True.csv
32,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B002095_S120.signature,A12_B002095_S120_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B002095_S120_ignore-abundance=True.csv
33,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B002097_S252.signature,A12_B002097_S252_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B002097_S252_ignore-abundance=True.csv
34,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B003125_S264.signature,A12_B003125_S264_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B003125_S264_ignore-abundance=True.csv
35,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B003511_S216.signature,A12_B003511_S216_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B003511_S216_ignore-abundance=True.csv
36,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B003527_S132.signature,A12_B003527_S132_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B003527_S132_ignore-abundance=True.csv
37,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B003528_S12.signature,A12_B003528_S12_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B003528_S12_ignore-abundance=True.csv
38,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B003570_S96.signature,A12_B003570_S96_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B003570_S96_ignore-abundance=True.csv
39,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B003573_S180.signature,A12_B003573_S180_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B003573_S180_ignore-abundance=True.csv
40,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B003586_S300.signature,A12_B003586_S300_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B003586_S300_ignore-abundance=True.csv
41,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A12_B003588_S48.signature,A12_B003588_S48_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A12_B003588_S48_ignore-abundance=True.csv
42,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B000419_S37.signature,A13_B000419_S37_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B000419_S37_ignore-abundance=True.csv
43,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B000420_S85.signature,A13_B000420_S85_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B000420_S85_ignore-abundance=True.csv
44,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B002073_S169.signature,A13_B002073_S169_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B002073_S169_ignore-abundance=True.csv
45,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B002078_S205.signature,A13_B002078_S205_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B002078_S205_ignore-abundance=True.csv
46,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B002095_S121.signature,A13_B002095_S121_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B002095_S121_ignore-abundance=True.csv
47,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B002097_S253.signature,A13_B002097_S253_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B002097_S253_ignore-abundance=True.csv
48,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B003125_S265.signature,A13_B003125_S265_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B003125_S265_ignore-abundance=True.csv
49,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B003511_S217.signature,A13_B003511_S217_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B003511_S217_ignore-abundance=True.csv
50,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B003527_S133.signature,A13_B003527_S133_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B003527_S133_ignore-abundance=True.csv
51,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B003528_S13.signature,A13_B003528_S13_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B003528_S13_ignore-abundance=True.csv
52,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B003570_S97.signature,A13_B003570_S97_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B003570_S97_ignore-abundance=True.csv
53,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B003573_S181.signature,A13_B003573_S181_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B003573_S181_ignore-abundance=True.csv
54,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B003586_S1.signature,A13_B003586_S1_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B003586_S1_ignore-abundance=True.csv
55,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A13_B003588_S49.signature,A13_B003588_S49_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A13_B003588_S49_ignore-abundance=True.csv
56,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B000419_S38.signature,A14_B000419_S38_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B000419_S38_ignore-abundance=True.csv
57,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B000420_S86.signature,A14_B000420_S86_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B000420_S86_ignore-abundance=True.csv
58,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B002073_S170.signature,A14_B002073_S170_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B002073_S170_ignore-abundance=True.csv
59,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B002078_S206.signature,A14_B002078_S206_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B002078_S206_ignore-abundance=True.csv
60,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B002095_S122.signature,A14_B002095_S122_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B002095_S122_ignore-abundance=True.csv
61,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B002097_S254.signature,A14_B002097_S254_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B002097_S254_ignore-abundance=True.csv
62,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B003125_S266.signature,A14_B003125_S266_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B003125_S266_ignore-abundance=True.csv
63,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B003511_S218.signature,A14_B003511_S218_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B003511_S218_ignore-abundance=True.csv
64,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B003527_S134.signature,A14_B003527_S134_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B003527_S134_ignore-abundance=True.csv
65,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B003528_S14.signature,A14_B003528_S14_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B003528_S14_ignore-abundance=True.csv
66,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B003570_S98.signature,A14_B003570_S98_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B003570_S98_ignore-abundance=True.csv
67,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B003573_S182.signature,A14_B003573_S182_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B003573_S182_ignore-abundance=True.csv
68,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B003586_S2.signature,A14_B003586_S2_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B003586_S2_ignore-abundance=True.csv
69,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A14_B003588_S50.signature,A14_B003588_S50_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A14_B003588_S50_ignore-abundance=True.csv
70,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A15_B000419_S39.signature,A15_B000419_S39_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A15_B000419_S39_ignore-abundance=True.csv
71,True,s3://olgabot-maca/lung_cancer/sourmash_v4/A15_B000420_S87.signature,A15_B000420_S87_ignore-abundance=True,protein,51,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/A15_B000420_S87_ignore-abundance=True.csv
