	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	platform	protocol	source_name	tissue	output	id
2	RNA-Seq		36	PRJNA393429	SAMN07332544	GEO	public	sra	ncbi	SRX2989233	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	3053	1081	Danio rerio	ILLUMINA	2017-08-07	SRR5810672	SRS2341156	SRP111339	GSM2696100			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810672
3	RNA-Seq		50	PRJNA393429	SAMN07332544	GEO	public	sra	ncbi	SRX2989233	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	4241	1897	Danio rerio	ILLUMINA	2017-08-07	SRR5810673	SRS2341156	SRP111339	GSM2696100			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810673
4	RNA-Seq		36	PRJNA393429	SAMN07332543	GEO	public	sra	ncbi	SRX2989234	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	1477	538	Danio rerio	ILLUMINA	2017-08-07	SRR5810674	SRS2341157	SRP111339	GSM2696101			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810674
5	RNA-Seq		50	PRJNA393429	SAMN07332543	GEO	public	sra	ncbi	SRX2989234	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	2052	938	Danio rerio	ILLUMINA	2017-08-07	SRR5810675	SRS2341157	SRP111339	GSM2696101			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810675
6	RNA-Seq		36	PRJNA393429	SAMN07332542	GEO	public	sra	ncbi	SRX2989235	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	1895	674	Danio rerio	ILLUMINA	2017-08-07	SRR5810676	SRS2341158	SRP111339	GSM2696102			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810676
7	RNA-Seq		50	PRJNA393429	SAMN07332542	GEO	public	sra	ncbi	SRX2989235	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	2633	1183	Danio rerio	ILLUMINA	2017-08-07	SRR5810677	SRS2341158	SRP111339	GSM2696102			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810677
8	RNA-Seq		61	PRJNA393429	SAMN07332541	GEO	public	sra	ncbi	SRX2989236	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	25623	11478	Danio rerio	ILLUMINA	2017-08-07	SRR5810678	SRS2341159	SRP111339	GSM2696103			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810678
9	RNA-Seq		8	PRJNA393429	SAMN07332541	GEO	public	sra	ncbi	SRX2989236	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	3360	1648	Danio rerio	ILLUMINA	2017-08-07	SRR5810679	SRS2341159	SRP111339	GSM2696103			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810679
10	RNA-Seq		8	PRJNA393429	SAMN07332541	GEO	public	sra	ncbi	SRX2989236	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	3360	2249	Danio rerio	ILLUMINA	2017-08-07	SRR5810680	SRS2341159	SRP111339	GSM2696103			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810680
11	RNA-Seq		14	PRJNA393429	SAMN07332541	GEO	public	sra	ncbi	SRX2989236	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	5880	3628	Danio rerio	ILLUMINA	2017-08-07	SRR5810681	SRS2341159	SRP111339	GSM2696103			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810681
12	RNA-Seq		61	PRJNA393429	SAMN07332540	GEO	public	sra	ncbi	SRX2989237	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	22235	10348	Danio rerio	ILLUMINA	2017-08-07	SRR5810682	SRS2341160	SRP111339	GSM2696104			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810682
13	RNA-Seq		8	PRJNA393429	SAMN07332540	GEO	public	sra	ncbi	SRX2989237	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	2916	1451	Danio rerio	ILLUMINA	2017-08-07	SRR5810683	SRS2341160	SRP111339	GSM2696104			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810683
14	RNA-Seq		8	PRJNA393429	SAMN07332540	GEO	public	sra	ncbi	SRX2989237	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	2916	2040	Danio rerio	ILLUMINA	2017-08-07	SRR5810684	SRS2341160	SRP111339	GSM2696104			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810684
15	RNA-Seq		14	PRJNA393429	SAMN07332540	GEO	public	sra	ncbi	SRX2989237	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	5103	3226	Danio rerio	ILLUMINA	2017-08-07	SRR5810685	SRS2341160	SRP111339	GSM2696104			inDrop	Whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/	danio_rerio_indrop_whole_kidney_marrow_srr5810685
16	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332614	GEO	public	sra	ncbi	SRX2989238	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-13	140	49	Danio rerio	ILLUMINA	2017-08-07	SRR5810686	SRS2341162	SRP111340	GSM2696105			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810686
17	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332723	GEO	public	sra	ncbi	SRX2989239	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	46	20	Danio rerio	ILLUMINA	2017-08-07	SRR5810687	SRS2341161	SRP111340	GSM2696106			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810687
18	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332722	GEO	public	sra	ncbi	SRX2989240	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	84	30	Danio rerio	ILLUMINA	2017-08-07	SRR5810688	SRS2341164	SRP111340	GSM2696107			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810688
19	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332721	GEO	public	sra	ncbi	SRX2989241	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	107	38	Danio rerio	ILLUMINA	2017-08-07	SRR5810689	SRS2341163	SRP111340	GSM2696108			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810689
20	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332720	GEO	public	sra	ncbi	SRX2989242	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	97	35	Danio rerio	ILLUMINA	2017-08-07	SRR5810690	SRS2341166	SRP111340	GSM2696109			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810690
21	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332719	GEO	public	sra	ncbi	SRX2989243	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	127	44	Danio rerio	ILLUMINA	2017-08-07	SRR5810691	SRS2341165	SRP111340	GSM2696110			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810691
22	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332613	GEO	public	sra	ncbi	SRX2989244	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	148	50	Danio rerio	ILLUMINA	2017-08-07	SRR5810692	SRS2341167	SRP111340	GSM2696111			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810692
23	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332726	GEO	public	sra	ncbi	SRX2989245	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	129	46	Danio rerio	ILLUMINA	2017-08-07	SRR5810693	SRS2341168	SRP111340	GSM2696112			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810693
24	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332725	GEO	public	sra	ncbi	SRX2989246	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	103	38	Danio rerio	ILLUMINA	2017-08-07	SRR5810694	SRS2341169	SRP111340	GSM2696113			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810694
25	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332724	GEO	public	sra	ncbi	SRX2989247	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	66	26	Danio rerio	ILLUMINA	2017-08-07	SRR5810695	SRS2341170	SRP111340	GSM2696114			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810695
26	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332718	GEO	public	sra	ncbi	SRX2989248	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	79	29	Danio rerio	ILLUMINA	2017-08-07	SRR5810696	SRS2341171	SRP111340	GSM2696115			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810696
27	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332717	GEO	public	sra	ncbi	SRX2989249	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	128	46	Danio rerio	ILLUMINA	2017-08-07	SRR5810697	SRS2341172	SRP111340	GSM2696116			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810697
28	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332716	GEO	public	sra	ncbi	SRX2989250	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	55	23	Danio rerio	ILLUMINA	2017-08-07	SRR5810698	SRS2341173	SRP111340	GSM2696117			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810698
29	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332715	GEO	public	sra	ncbi	SRX2989251	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	112	39	Danio rerio	ILLUMINA	2017-08-07	SRR5810699	SRS2341174	SRP111340	GSM2696118			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810699
30	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332714	GEO	public	sra	ncbi	SRX2989252	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	119	43	Danio rerio	ILLUMINA	2017-08-07	SRR5810700	SRS2341175	SRP111340	GSM2696119			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810700
31	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332713	GEO	public	sra	ncbi	SRX2989253	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	101	36	Danio rerio	ILLUMINA	2017-08-07	SRR5810701	SRS2341176	SRP111340	GSM2696120			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810701
32	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332712	GEO	public	sra	ncbi	SRX2989254	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	113	40	Danio rerio	ILLUMINA	2017-08-07	SRR5810702	SRS2341177	SRP111340	GSM2696121			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810702
33	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332711	GEO	public	sra	ncbi	SRX2989255	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	105	38	Danio rerio	ILLUMINA	2017-08-07	SRR5810703	SRS2341178	SRP111340	GSM2696122			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810703
34	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332710	GEO	public	sra	ncbi	SRX2989256	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	90	33	Danio rerio	ILLUMINA	2017-08-07	SRR5810704	SRS2341179	SRP111340	GSM2696123			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810704
35	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332709	GEO	public	sra	ncbi	SRX2989257	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	94	36	Danio rerio	ILLUMINA	2017-08-07	SRR5810705	SRS2341180	SRP111340	GSM2696124			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810705
36	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332708	GEO	public	sra	ncbi	SRX2989258	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	80	30	Danio rerio	ILLUMINA	2017-08-07	SRR5810706	SRS2341181	SRP111340	GSM2696125			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810706
37	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332583	GEO	public	sra	ncbi	SRX2989259	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	94	34	Danio rerio	ILLUMINA	2017-08-07	SRR5810707	SRS2341182	SRP111340	GSM2696126			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810707
38	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332582	GEO	public	sra	ncbi	SRX2989260	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	55	22	Danio rerio	ILLUMINA	2017-08-07	SRR5810708	SRS2341183	SRP111340	GSM2696127			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810708
39	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332581	GEO	public	sra	ncbi	SRX2989261	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	107	39	Danio rerio	ILLUMINA	2017-08-07	SRR5810709	SRS2341184	SRP111340	GSM2696128			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810709
40	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332580	GEO	public	sra	ncbi	SRX2989262	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	91	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810710	SRS2341185	SRP111340	GSM2696129			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810710
41	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332579	GEO	public	sra	ncbi	SRX2989263	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	88	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810711	SRS2341186	SRP111340	GSM2696130			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810711
42	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332578	GEO	public	sra	ncbi	SRX2989264	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	132	47	Danio rerio	ILLUMINA	2017-08-07	SRR5810712	SRS2341187	SRP111340	GSM2696131			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810712
43	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332577	GEO	public	sra	ncbi	SRX2989265	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	93	34	Danio rerio	ILLUMINA	2017-08-07	SRR5810713	SRS2341188	SRP111340	GSM2696132			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810713
44	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332576	GEO	public	sra	ncbi	SRX2989266	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	138	49	Danio rerio	ILLUMINA	2017-08-07	SRR5810714	SRS2341189	SRP111340	GSM2696133			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810714
45	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332575	GEO	public	sra	ncbi	SRX2989267	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	92	33	Danio rerio	ILLUMINA	2017-08-07	SRR5810715	SRS2341190	SRP111340	GSM2696134			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810715
46	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332574	GEO	public	sra	ncbi	SRX2989268	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	113	40	Danio rerio	ILLUMINA	2017-08-07	SRR5810716	SRS2341191	SRP111340	GSM2696135			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810716
