Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cd10	cd135	cd34	cd38	cd45ra	cd49f	cd7	cd90	facs_time	fsc_a	fsc_h	fsc_w	genotype	lin	platform	protocol	source_name	ssc_a	ssc_h	ssc_w	strain	tissue	Run_s
RNA-Seq		14	PRJNA393429	SAMN07332541	GEO	public	sra	ncbi	SRX2989236	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	5880	3628	Danio rerio	ILLUMINA	2017-08-07	SRR5810681	SRS2341159	SRP111339	GSM2696103																	inDrop	Whole kidney marrow					kidney marrow	SRR5810681
RNA-Seq		61	PRJNA393429	SAMN07332540	GEO	public	sra	ncbi	SRX2989237	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	22235	10348	Danio rerio	ILLUMINA	2017-08-07	SRR5810682	SRS2341160	SRP111339	GSM2696104																	inDrop	Whole kidney marrow					kidney marrow	SRR5810682
RNA-Seq		8	PRJNA393429	SAMN07332540	GEO	public	sra	ncbi	SRX2989237	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	2916	1451	Danio rerio	ILLUMINA	2017-08-07	SRR5810683	SRS2341160	SRP111339	GSM2696104																	inDrop	Whole kidney marrow					kidney marrow	SRR5810683
RNA-Seq		8	PRJNA393429	SAMN07332540	GEO	public	sra	ncbi	SRX2989237	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	2916	2040	Danio rerio	ILLUMINA	2017-08-07	SRR5810684	SRS2341160	SRP111339	GSM2696104																	inDrop	Whole kidney marrow					kidney marrow	SRR5810684
RNA-Seq		14	PRJNA393429	SAMN07332540	GEO	public	sra	ncbi	SRX2989237	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-07-07	5103	3226	Danio rerio	ILLUMINA	2017-08-07	SRR5810685	SRS2341160	SRP111339	GSM2696104																	inDrop	Whole kidney marrow					kidney marrow	SRR5810685
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332614	GEO	public	sra	ncbi	SRX2989238	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-13	140	49	Danio rerio	ILLUMINA	2017-08-07	SRR5810686	SRS2341162	SRP111340	GSM2696105																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810686
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332723	GEO	public	sra	ncbi	SRX2989239	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	46	20	Danio rerio	ILLUMINA	2017-08-07	SRR5810687	SRS2341161	SRP111340	GSM2696106																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810687
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332722	GEO	public	sra	ncbi	SRX2989240	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	84	30	Danio rerio	ILLUMINA	2017-08-07	SRR5810688	SRS2341164	SRP111340	GSM2696107																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810688
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332721	GEO	public	sra	ncbi	SRX2989241	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	107	38	Danio rerio	ILLUMINA	2017-08-07	SRR5810689	SRS2341163	SRP111340	GSM2696108																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810689
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332720	GEO	public	sra	ncbi	SRX2989242	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	97	35	Danio rerio	ILLUMINA	2017-08-07	SRR5810690	SRS2341166	SRP111340	GSM2696109																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810690
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332719	GEO	public	sra	ncbi	SRX2989243	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	127	44	Danio rerio	ILLUMINA	2017-08-07	SRR5810691	SRS2341165	SRP111340	GSM2696110																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810691
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332613	GEO	public	sra	ncbi	SRX2989244	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	148	50	Danio rerio	ILLUMINA	2017-08-07	SRR5810692	SRS2341167	SRP111340	GSM2696111																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810692
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332726	GEO	public	sra	ncbi	SRX2989245	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	129	46	Danio rerio	ILLUMINA	2017-08-07	SRR5810693	SRS2341168	SRP111340	GSM2696112																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810693
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332725	GEO	public	sra	ncbi	SRX2989246	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	103	38	Danio rerio	ILLUMINA	2017-08-07	SRR5810694	SRS2341169	SRP111340	GSM2696113																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810694
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332724	GEO	public	sra	ncbi	SRX2989247	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	66	26	Danio rerio	ILLUMINA	2017-08-07	SRR5810695	SRS2341170	SRP111340	GSM2696114																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810695
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332718	GEO	public	sra	ncbi	SRX2989248	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	79	29	Danio rerio	ILLUMINA	2017-08-07	SRR5810696	SRS2341171	SRP111340	GSM2696115																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810696
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332717	GEO	public	sra	ncbi	SRX2989249	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	128	46	Danio rerio	ILLUMINA	2017-08-07	SRR5810697	SRS2341172	SRP111340	GSM2696116																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810697
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332716	GEO	public	sra	ncbi	SRX2989250	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	55	23	Danio rerio	ILLUMINA	2017-08-07	SRR5810698	SRS2341173	SRP111340	GSM2696117																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810698
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332715	GEO	public	sra	ncbi	SRX2989251	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	112	39	Danio rerio	ILLUMINA	2017-08-07	SRR5810699	SRS2341174	SRP111340	GSM2696118																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810699
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332714	GEO	public	sra	ncbi	SRX2989252	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	119	43	Danio rerio	ILLUMINA	2017-08-07	SRR5810700	SRS2341175	SRP111340	GSM2696119																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810700
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332713	GEO	public	sra	ncbi	SRX2989253	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	101	36	Danio rerio	ILLUMINA	2017-08-07	SRR5810701	SRS2341176	SRP111340	GSM2696120																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810701
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332712	GEO	public	sra	ncbi	SRX2989254	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	113	40	Danio rerio	ILLUMINA	2017-08-07	SRR5810702	SRS2341177	SRP111340	GSM2696121																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810702
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332711	GEO	public	sra	ncbi	SRX2989255	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	105	38	Danio rerio	ILLUMINA	2017-08-07	SRR5810703	SRS2341178	SRP111340	GSM2696122																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810703
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332710	GEO	public	sra	ncbi	SRX2989256	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	90	33	Danio rerio	ILLUMINA	2017-08-07	SRR5810704	SRS2341179	SRP111340	GSM2696123																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810704
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332709	GEO	public	sra	ncbi	SRX2989257	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	94	36	Danio rerio	ILLUMINA	2017-08-07	SRR5810705	SRS2341180	SRP111340	GSM2696124																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810705
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332708	GEO	public	sra	ncbi	SRX2989258	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	80	30	Danio rerio	ILLUMINA	2017-08-07	SRR5810706	SRS2341181	SRP111340	GSM2696125																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810706
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332583	GEO	public	sra	ncbi	SRX2989259	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	94	34	Danio rerio	ILLUMINA	2017-08-07	SRR5810707	SRS2341182	SRP111340	GSM2696126																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810707
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332582	GEO	public	sra	ncbi	SRX2989260	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	55	22	Danio rerio	ILLUMINA	2017-08-07	SRR5810708	SRS2341183	SRP111340	GSM2696127																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810708
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332581	GEO	public	sra	ncbi	SRX2989261	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	107	39	Danio rerio	ILLUMINA	2017-08-07	SRR5810709	SRS2341184	SRP111340	GSM2696128																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810709
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332580	GEO	public	sra	ncbi	SRX2989262	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	91	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810710	SRS2341185	SRP111340	GSM2696129																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810710
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332579	GEO	public	sra	ncbi	SRX2989263	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	88	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810711	SRS2341186	SRP111340	GSM2696130																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810711
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332578	GEO	public	sra	ncbi	SRX2989264	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	132	47	Danio rerio	ILLUMINA	2017-08-07	SRR5810712	SRS2341187	SRP111340	GSM2696131																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810712
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332577	GEO	public	sra	ncbi	SRX2989265	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	93	34	Danio rerio	ILLUMINA	2017-08-07	SRR5810713	SRS2341188	SRP111340	GSM2696132																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810713
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332576	GEO	public	sra	ncbi	SRX2989266	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	138	49	Danio rerio	ILLUMINA	2017-08-07	SRR5810714	SRS2341189	SRP111340	GSM2696133																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810714
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332575	GEO	public	sra	ncbi	SRX2989267	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	92	33	Danio rerio	ILLUMINA	2017-08-07	SRR5810715	SRS2341190	SRP111340	GSM2696134																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810715
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332574	GEO	public	sra	ncbi	SRX2989268	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	113	40	Danio rerio	ILLUMINA	2017-08-07	SRR5810716	SRS2341191	SRP111340	GSM2696135																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810716
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332573	GEO	public	sra	ncbi	SRX2989269	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	37	13	Danio rerio	ILLUMINA	2017-08-07	SRR5810717	SRS2341192	SRP111340	GSM2696136																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810717
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332572	GEO	public	sra	ncbi	SRX2989270	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	120	43	Danio rerio	ILLUMINA	2017-08-07	SRR5810718	SRS2341193	SRP111340	GSM2696137																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810718
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332571	GEO	public	sra	ncbi	SRX2989271	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	147	52	Danio rerio	ILLUMINA	2017-08-07	SRR5810719	SRS2341194	SRP111340	GSM2696138																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810719
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332570	GEO	public	sra	ncbi	SRX2989272	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	24	12	Danio rerio	ILLUMINA	2017-08-07	SRR5810720	SRS2341195	SRP111340	GSM2696139																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810720
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332569	GEO	public	sra	ncbi	SRX2989273	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	79	30	Danio rerio	ILLUMINA	2017-08-07	SRR5810721	SRS2341196	SRP111340	GSM2696140																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810721
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332568	GEO	public	sra	ncbi	SRX2989274	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	89	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810722	SRS2341197	SRP111340	GSM2696141																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810722
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332567	GEO	public	sra	ncbi	SRX2989275	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	87	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810723	SRS2341198	SRP111340	GSM2696142																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810723
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332566	GEO	public	sra	ncbi	SRX2989276	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	111	39	Danio rerio	ILLUMINA	2017-08-07	SRR5810724	SRS2341199	SRP111340	GSM2696143																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810724
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332565	GEO	public	sra	ncbi	SRX2989277	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	77	30	Danio rerio	ILLUMINA	2017-08-07	SRR5810725	SRS2341200	SRP111340	GSM2696144																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810725
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332564	GEO	public	sra	ncbi	SRX2989278	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	108	39	Danio rerio	ILLUMINA	2017-08-07	SRR5810726	SRS2341202	SRP111340	GSM2696145																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810726
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332563	GEO	public	sra	ncbi	SRX2989279	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	54	18	Danio rerio	ILLUMINA	2017-08-07	SRR5810727	SRS2341201	SRP111340	GSM2696146																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810727
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332562	GEO	public	sra	ncbi	SRX2989280	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	88	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810728	SRS2341204	SRP111340	GSM2696147																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810728
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332561	GEO	public	sra	ncbi	SRX2989281	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	68	26	Danio rerio	ILLUMINA	2017-08-07	SRR5810729	SRS2341203	SRP111340	GSM2696148																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810729
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332560	GEO	public	sra	ncbi	SRX2989282	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	53	18	Danio rerio	ILLUMINA	2017-08-07	SRR5810730	SRS2341206	SRP111340	GSM2696149																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810730
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332559	GEO	public	sra	ncbi	SRX2989283	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	27	12	Danio rerio	ILLUMINA	2017-08-07	SRR5810731	SRS2341205	SRP111340	GSM2696150																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810731
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332558	GEO	public	sra	ncbi	SRX2989284	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	83	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810732	SRS2341208	SRP111340	GSM2696151																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810732
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332557	GEO	public	sra	ncbi	SRX2989285	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	29	13	Danio rerio	ILLUMINA	2017-08-07	SRR5810733	SRS2341207	SRP111340	GSM2696152																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810733
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332556	GEO	public	sra	ncbi	SRX2989286	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	68	29	Danio rerio	ILLUMINA	2017-08-07	SRR5810734	SRS2341209	SRP111340	GSM2696153																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810734
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332548	GEO	public	sra	ncbi	SRX2989287	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	81	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810735	SRS2341210	SRP111340	GSM2696154																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810735
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332612	GEO	public	sra	ncbi	SRX2989288	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	89	33	Danio rerio	ILLUMINA	2017-08-07	SRR5810736	SRS2341211	SRP111340	GSM2696155																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810736
RNA-Seq	danRer7	75	PRJNA393431	SAMN07332611	GEO	public	sra	ncbi	SRX2989289	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	64	24	Danio rerio	ILLUMINA	2017-08-07	SRR5810737	SRS2341212	SRP111340	GSM2696156																	Smart-seq	whole kidney marrow					kidney marrow	SRR5810737
