AvgSpotLen	BioProject	BioSample	Experiment	Instrument	LibraryLayout	LoadDate	MBases	MBytes	Run	SRA_Sample	SRA_Study	Sample_Name	source_name	Assay_Type	AssemblyName	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	tissue
8	PRJNA393429	SAMN07332541	SRX2989236	NextSeq 500	SINGLE	2017-07-07	3360	2249	SRR5810680	SRS2341159	SRP111339	GSM2696103	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
14	PRJNA393429	SAMN07332541	SRX2989236	NextSeq 500	SINGLE	2017-07-07	5880	3628	SRR5810681	SRS2341159	SRP111339	GSM2696103	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
61	PRJNA393429	SAMN07332540	SRX2989237	NextSeq 500	SINGLE	2017-07-07	22235	10348	SRR5810682	SRS2341160	SRP111339	GSM2696104	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
8	PRJNA393429	SAMN07332540	SRX2989237	NextSeq 500	SINGLE	2017-07-07	2916	1451	SRR5810683	SRS2341160	SRP111339	GSM2696104	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
8	PRJNA393429	SAMN07332540	SRX2989237	NextSeq 500	SINGLE	2017-07-07	2916	2040	SRR5810684	SRS2341160	SRP111339	GSM2696104	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
14	PRJNA393429	SAMN07332540	SRX2989237	NextSeq 500	SINGLE	2017-07-07	5103	3226	SRR5810685	SRS2341160	SRP111339	GSM2696104	Whole kidney marrow	RNA-Seq		GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332614	SRX2989238	NextSeq 500	PAIRED	2017-07-13	140	49	SRR5810686	SRS2341162	SRP111340	GSM2696105	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332723	SRX2989239	NextSeq 500	PAIRED	2017-07-14	46	20	SRR5810687	SRS2341161	SRP111340	GSM2696106	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332722	SRX2989240	NextSeq 500	PAIRED	2017-07-14	84	30	SRR5810688	SRS2341164	SRP111340	GSM2696107	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332721	SRX2989241	NextSeq 500	PAIRED	2017-07-14	107	38	SRR5810689	SRS2341163	SRP111340	GSM2696108	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332720	SRX2989242	NextSeq 500	PAIRED	2017-07-14	97	35	SRR5810690	SRS2341166	SRP111340	GSM2696109	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332719	SRX2989243	NextSeq 500	PAIRED	2017-07-14	127	44	SRR5810691	SRS2341165	SRP111340	GSM2696110	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332613	SRX2989244	NextSeq 500	PAIRED	2017-07-14	148	50	SRR5810692	SRS2341167	SRP111340	GSM2696111	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332726	SRX2989245	NextSeq 500	PAIRED	2017-07-14	129	46	SRR5810693	SRS2341168	SRP111340	GSM2696112	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332725	SRX2989246	NextSeq 500	PAIRED	2017-07-14	103	38	SRR5810694	SRS2341169	SRP111340	GSM2696113	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332724	SRX2989247	NextSeq 500	PAIRED	2017-07-14	66	26	SRR5810695	SRS2341170	SRP111340	GSM2696114	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332718	SRX2989248	NextSeq 500	PAIRED	2017-07-14	79	29	SRR5810696	SRS2341171	SRP111340	GSM2696115	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332717	SRX2989249	NextSeq 500	PAIRED	2017-07-14	128	46	SRR5810697	SRS2341172	SRP111340	GSM2696116	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332716	SRX2989250	NextSeq 500	PAIRED	2017-07-14	55	23	SRR5810698	SRS2341173	SRP111340	GSM2696117	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332715	SRX2989251	NextSeq 500	PAIRED	2017-07-14	112	39	SRR5810699	SRS2341174	SRP111340	GSM2696118	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332714	SRX2989252	NextSeq 500	PAIRED	2017-07-14	119	43	SRR5810700	SRS2341175	SRP111340	GSM2696119	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332713	SRX2989253	NextSeq 500	PAIRED	2017-07-14	101	36	SRR5810701	SRS2341176	SRP111340	GSM2696120	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332712	SRX2989254	NextSeq 500	PAIRED	2017-07-14	113	40	SRR5810702	SRS2341177	SRP111340	GSM2696121	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332711	SRX2989255	NextSeq 500	PAIRED	2017-07-14	105	38	SRR5810703	SRS2341178	SRP111340	GSM2696122	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332710	SRX2989256	NextSeq 500	PAIRED	2017-07-14	90	33	SRR5810704	SRS2341179	SRP111340	GSM2696123	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332709	SRX2989257	NextSeq 500	PAIRED	2017-07-14	94	36	SRR5810705	SRS2341180	SRP111340	GSM2696124	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332708	SRX2989258	NextSeq 500	PAIRED	2017-07-14	80	30	SRR5810706	SRS2341181	SRP111340	GSM2696125	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332583	SRX2989259	NextSeq 500	PAIRED	2017-07-14	94	34	SRR5810707	SRS2341182	SRP111340	GSM2696126	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332582	SRX2989260	NextSeq 500	PAIRED	2017-07-14	55	22	SRR5810708	SRS2341183	SRP111340	GSM2696127	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332581	SRX2989261	NextSeq 500	PAIRED	2017-07-14	107	39	SRR5810709	SRS2341184	SRP111340	GSM2696128	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332580	SRX2989262	NextSeq 500	PAIRED	2017-07-14	91	32	SRR5810710	SRS2341185	SRP111340	GSM2696129	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332579	SRX2989263	NextSeq 500	PAIRED	2017-07-14	88	31	SRR5810711	SRS2341186	SRP111340	GSM2696130	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332578	SRX2989264	NextSeq 500	PAIRED	2017-07-14	132	47	SRR5810712	SRS2341187	SRP111340	GSM2696131	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332577	SRX2989265	NextSeq 500	PAIRED	2017-07-14	93	34	SRR5810713	SRS2341188	SRP111340	GSM2696132	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332576	SRX2989266	NextSeq 500	PAIRED	2017-07-14	138	49	SRR5810714	SRS2341189	SRP111340	GSM2696133	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332575	SRX2989267	NextSeq 500	PAIRED	2017-07-14	92	33	SRR5810715	SRS2341190	SRP111340	GSM2696134	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332574	SRX2989268	NextSeq 500	PAIRED	2017-07-14	113	40	SRR5810716	SRS2341191	SRP111340	GSM2696135	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332573	SRX2989269	NextSeq 500	PAIRED	2017-07-14	37	13	SRR5810717	SRS2341192	SRP111340	GSM2696136	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332572	SRX2989270	NextSeq 500	PAIRED	2017-07-14	120	43	SRR5810718	SRS2341193	SRP111340	GSM2696137	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332571	SRX2989271	NextSeq 500	PAIRED	2017-07-14	147	52	SRR5810719	SRS2341194	SRP111340	GSM2696138	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332570	SRX2989272	NextSeq 500	PAIRED	2017-07-14	24	12	SRR5810720	SRS2341195	SRP111340	GSM2696139	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332569	SRX2989273	NextSeq 500	PAIRED	2017-07-14	79	30	SRR5810721	SRS2341196	SRP111340	GSM2696140	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332568	SRX2989274	NextSeq 500	PAIRED	2017-07-14	89	32	SRR5810722	SRS2341197	SRP111340	GSM2696141	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332567	SRX2989275	NextSeq 500	PAIRED	2017-07-14	87	31	SRR5810723	SRS2341198	SRP111340	GSM2696142	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332566	SRX2989276	NextSeq 500	PAIRED	2017-07-14	111	39	SRR5810724	SRS2341199	SRP111340	GSM2696143	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332565	SRX2989277	NextSeq 500	PAIRED	2017-07-14	77	30	SRR5810725	SRS2341200	SRP111340	GSM2696144	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332564	SRX2989278	NextSeq 500	PAIRED	2017-07-14	108	39	SRR5810726	SRS2341202	SRP111340	GSM2696145	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332563	SRX2989279	NextSeq 500	PAIRED	2017-07-14	54	18	SRR5810727	SRS2341201	SRP111340	GSM2696146	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332562	SRX2989280	NextSeq 500	PAIRED	2017-07-14	88	32	SRR5810728	SRS2341204	SRP111340	GSM2696147	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332561	SRX2989281	NextSeq 500	PAIRED	2017-07-14	68	26	SRR5810729	SRS2341203	SRP111340	GSM2696148	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332560	SRX2989282	NextSeq 500	PAIRED	2017-07-14	53	18	SRR5810730	SRS2341206	SRP111340	GSM2696149	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332559	SRX2989283	NextSeq 500	PAIRED	2017-07-14	27	12	SRR5810731	SRS2341205	SRP111340	GSM2696150	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332558	SRX2989284	NextSeq 500	PAIRED	2017-07-14	83	32	SRR5810732	SRS2341208	SRP111340	GSM2696151	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332557	SRX2989285	NextSeq 500	PAIRED	2017-07-14	29	13	SRR5810733	SRS2341207	SRP111340	GSM2696152	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332556	SRX2989286	NextSeq 500	PAIRED	2017-07-14	68	29	SRR5810734	SRS2341209	SRP111340	GSM2696153	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332548	SRX2989287	NextSeq 500	PAIRED	2017-07-14	81	31	SRR5810735	SRS2341210	SRP111340	GSM2696154	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332612	SRX2989288	NextSeq 500	PAIRED	2017-07-14	89	33	SRR5810736	SRS2341211	SRP111340	GSM2696155	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332611	SRX2989289	NextSeq 500	PAIRED	2017-07-14	64	24	SRR5810737	SRS2341212	SRP111340	GSM2696156	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332610	SRX2989290	NextSeq 500	PAIRED	2017-07-14	71	28	SRR5810738	SRS2341213	SRP111340	GSM2696157	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332609	SRX2989291	NextSeq 500	PAIRED	2017-07-14	30	13	SRR5810739	SRS2341214	SRP111340	GSM2696158	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332555	SRX2989292	NextSeq 500	PAIRED	2017-07-14	95	40	SRR5810740	SRS2341215	SRP111340	GSM2696159	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332554	SRX2989293	NextSeq 500	PAIRED	2017-07-14	9	6	SRR5810741	SRS2341216	SRP111340	GSM2696160	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332608	SRX2989294	NextSeq 500	PAIRED	2017-07-14	55	22	SRR5810742	SRS2341217	SRP111340	GSM2696161	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332607	SRX2989295	NextSeq 500	PAIRED	2017-07-14	14	7	SRR5810743	SRS2341218	SRP111340	GSM2696162	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332606	SRX2989296	NextSeq 500	PAIRED	2017-07-14	81	31	SRR5810744	SRS2341219	SRP111340	GSM2696163	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332605	SRX2989297	NextSeq 500	PAIRED	2017-07-14	75	28	SRR5810745	SRS2341220	SRP111340	GSM2696164	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332604	SRX2989298	NextSeq 500	PAIRED	2017-07-14	60	23	SRR5810746	SRS2341221	SRP111340	GSM2696165	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332603	SRX2989299	NextSeq 500	PAIRED	2017-07-14	85	32	SRR5810747	SRS2341222	SRP111340	GSM2696166	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332602	SRX2989300	NextSeq 500	PAIRED	2017-07-14	99	36	SRR5810748	SRS2341223	SRP111340	GSM2696167	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332601	SRX2989301	NextSeq 500	PAIRED	2017-07-14	69	27	SRR5810749	SRS2341224	SRP111340	GSM2696168	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332600	SRX2989302	NextSeq 500	PAIRED	2017-07-14	99	36	SRR5810750	SRS2341225	SRP111340	GSM2696169	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332599	SRX2989303	NextSeq 500	PAIRED	2017-07-14	23	11	SRR5810751	SRS2341226	SRP111340	GSM2696170	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332598	SRX2989304	NextSeq 500	PAIRED	2017-07-14	106	38	SRR5810752	SRS2341227	SRP111340	GSM2696171	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
75	PRJNA393431	SAMN07332597	SRX2989305	NextSeq 500	PAIRED	2017-07-14	6	3	SRR5810753	SRS2341228	SRP111340	GSM2696172	whole kidney marrow	RNA-Seq	danRer7	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Danio rerio	ILLUMINA	2017-08-07	kidney marrow
