Assay_Type	AvgSpotLen	BioProject	BioSample	DATASTORE_filetype	Experiment	LibrarySelection	LoadDate	MBases	MBytes	Run	SRA_Sample	SRA_Study	Sample_Name	cell_type	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySource	Organism	Platform	ReleaseDate	source_name	tissue
ATAC-seq	152	PRJNA379613	SAMN06613354	sra	SRX2649629	other	2017-03-17	13	4	SRR5353404	SRS2054821	SRP102089	GSM2540326	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613353	sra	SRX2649630	other	2017-03-17	13	3	SRR5353405	SRS2054822	SRP102089	GSM2540327	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613352	sra	SRX2649631	other	2017-03-17	10	3	SRR5353406	SRS2054823	SRP102089	GSM2540328	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613351	sra unknown_contigs	SRX2649632	other	2017-03-17	57	19	SRR5353407	SRS2054824	SRP102089	GSM2540329	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613350	sra unknown_contigs	SRX2649633	other	2017-03-17	25	8	SRR5353408	SRS2054825	SRP102089	GSM2540330	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613349	sra unknown_contigs	SRX2649634	other	2017-03-17	31	10	SRR5353409	SRS2054826	SRP102089	GSM2540331	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613348	sra unknown_contigs	SRX2649635	other	2017-03-17	16	5	SRR5353410	SRS2054827	SRP102089	GSM2540332	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613345	sra	SRX2649636	other	2017-03-17	12	3	SRR5353411	SRS2054828	SRP102089	GSM2540333	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613344	sra	SRX2649637	other	2017-03-17	18	5	SRR5353412	SRS2054829	SRP102089	GSM2540334	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613343	sra unknown_contigs	SRX2649638	other	2017-03-17	22	7	SRR5353413	SRS2054830	SRP102089	GSM2540335	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613342	sra	SRX2649639	other	2017-03-17	16	5	SRR5353414	SRS2054831	SRP102089	GSM2540336	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613251	sra unknown_contigs	SRX2649640	other	2017-03-17	26	8	SRR5353415	SRS2054832	SRP102089	GSM2540337	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613250	sra unknown_contigs	SRX2649641	other	2017-03-17	26	8	SRR5353416	SRS2054833	SRP102089	GSM2540338	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613347	sra unknown_contigs	SRX2649642	other	2017-03-17	34	11	SRR5353417	SRS2054834	SRP102089	GSM2540339	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613346	sra unknown_contigs	SRX2649643	other	2017-03-17	33	11	SRR5353418	SRS2054835	SRP102089	GSM2540340	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613249	sra	SRX2649644	other	2017-03-17	25	7	SRR5353419	SRS2054836	SRP102089	GSM2540341	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613248	sra unknown_contigs	SRX2649645	other	2017-03-17	26	8	SRR5353420	SRS2054837	SRP102089	GSM2540342	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613247	sra unknown_contigs	SRX2649646	other	2017-03-17	15	4	SRR5353421	SRS2054838	SRP102089	GSM2540343	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613246	sra unknown_contigs	SRX2649647	other	2017-03-17	29	9	SRR5353422	SRS2054839	SRP102089	GSM2540344	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613245	sra unknown_contigs	SRX2649648	other	2017-03-17	26	8	SRR5353423	SRS2054840	SRP102089	GSM2540345	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613244	sra unknown_contigs	SRX2649649	other	2017-03-17	23	7	SRR5353424	SRS2054841	SRP102089	GSM2540346	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613243	sra	SRX2649650	other	2017-03-17	22	6	SRR5353425	SRS2054842	SRP102089	GSM2540347	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613242	sra	SRX2649651	other	2017-03-17	12	3	SRR5353426	SRS2054843	SRP102089	GSM2540348	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613241	sra unknown_contigs	SRX2649652	other	2017-03-17	26	8	SRR5353427	SRS2054844	SRP102089	GSM2540349	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613240	sra unknown_contigs	SRX2649653	other	2017-03-17	21	6	SRR5353428	SRS2054845	SRP102089	GSM2540350	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613239	sra	SRX2649654	other	2017-03-17	19	5	SRR5353429	SRS2054846	SRP102089	GSM2540351	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613238	sra unknown_contigs	SRX2649655	other	2017-03-17	23	7	SRR5353430	SRS2054847	SRP102089	GSM2540352	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613237	sra unknown_contigs	SRX2649656	other	2017-03-17	21	6	SRR5353431	SRS2054848	SRP102089	GSM2540353	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613325	sra unknown_contigs	SRX2649657	other	2017-03-17	41	13	SRR5353432	SRS2054849	SRP102089	GSM2540354	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613324	sra	SRX2649658	other	2017-03-17	14	4	SRR5353433	SRS2054850	SRP102089	GSM2540355	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613321	sra	SRX2649661	other	2017-03-17	13	3	SRR5353436	SRS2054851	SRP102089	GSM2540358	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613322	sra unknown_contigs	SRX2649660	other	2017-03-17	22	7	SRR5353435	SRS2054852	SRP102089	GSM2540357	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613323	sra	SRX2649659	other	2017-03-17	29	9	SRR5353434	SRS2054853	SRP102089	GSM2540356	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613320	sra	SRX2649662	other	2017-03-17	20	6	SRR5353437	SRS2054854	SRP102089	GSM2540359	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613319	sra	SRX2649663	other	2017-03-17	14	4	SRR5353438	SRS2054855	SRP102089	GSM2540360	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613316	sra unknown_contigs	SRX2649666	other	2017-03-17	37	12	SRR5353441	SRS2054856	SRP102089	GSM2540363	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613317	sra unknown_contigs	SRX2649665	other	2017-03-17	29	9	SRR5353440	SRS2054857	SRP102089	GSM2540362	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613318	sra unknown_contigs	SRX2649664	other	2017-03-17	31	10	SRR5353439	SRS2054858	SRP102089	GSM2540361	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613315	sra unknown_contigs	SRX2649667	other	2017-03-17	31	10	SRR5353442	SRS2054859	SRP102089	GSM2540364	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613314	sra	SRX2649668	other	2017-03-17	14	4	SRR5353443	SRS2054860	SRP102089	GSM2540365	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613311	sra	SRX2649671	other	2017-03-17	71	24	SRR5353446	SRS2054861	SRP102089	GSM2540368	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613312	sra unknown_contigs	SRX2649670	other	2017-03-17	22	7	SRR5353445	SRS2054862	SRP102089	GSM2540367	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613378	sra unknown_contigs	SRX2649672	other	2017-03-17	23	8	SRR5353447	SRS2054863	SRP102089	GSM2540369	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613313	sra unknown_contigs	SRX2649669	other	2017-03-17	21	6	SRR5353444	SRS2054864	SRP102089	GSM2540366	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613377	sra	SRX2649673	other	2017-03-17	15	4	SRR5353448	SRS2054865	SRP102089	GSM2540370	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613376	sra unknown_contigs	SRX2649674	other	2017-03-17	33	10	SRR5353449	SRS2054866	SRP102089	GSM2540371	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613373	sra unknown_contigs	SRX2649677	other	2017-03-17	35	11	SRR5353452	SRS2054867	SRP102089	GSM2540374	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613375	sra unknown_contigs	SRX2649675	other	2017-03-17	16	4	SRR5353450	SRS2054868	SRP102089	GSM2540372	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613374	sra unknown_contigs	SRX2649676	other	2017-03-17	32	10	SRR5353451	SRS2054869	SRP102089	GSM2540373	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613372	sra unknown_contigs	SRX2649678	other	2017-03-17	29	9	SRR5353453	SRS2054870	SRP102089	GSM2540375	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613465	sra unknown_contigs	SRX2649680	other	2017-03-17	19	5	SRR5353455	SRS2054871	SRP102089	GSM2540377	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613466	sra	SRX2649679	other	2017-03-17	25	8	SRR5353454	SRS2054872	SRP102089	GSM2540376	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613464	sra unknown_contigs	SRX2649681	other	2017-03-17	22	7	SRR5353456	SRS2054873	SRP102089	GSM2540378	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613463	sra unknown_contigs	SRX2649682	other	2017-03-17	25	8	SRR5353457	SRS2054874	SRP102089	GSM2540379	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613462	sra unknown_contigs	SRX2649683	other	2017-03-17	15	5	SRR5353458	SRS2054875	SRP102089	GSM2540380	HSC	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
