BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	age	source_name	strain	tissue
SAMN08117936	SRX3436303	2018-04-12	3497	2165	SRR6337219	SRS2727267	GSM2871708	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117936	SRX3436303	2018-04-12	3541	2166	SRR6337220	SRS2727267	GSM2871708	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117935	SRX3436304	2018-04-12	3515	2020	SRR6337221	SRS2727268	GSM2871709	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117935	SRX3436304	2018-04-12	3477	2015	SRR6337222	SRS2727268	GSM2871709	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117935	SRX3436304	2018-04-12	3463	2022	SRR6337223	SRS2727268	GSM2871709	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117935	SRX3436304	2018-04-12	3419	1993	SRR6337224	SRS2727268	GSM2871709	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117935	SRX3436304	2018-04-12	3394	2033	SRR6337225	SRS2727268	GSM2871709	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117935	SRX3436304	2018-04-12	3298	2019	SRR6337226	SRS2727268	GSM2871709	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117935	SRX3436304	2018-04-12	3202	1991	SRR6337227	SRS2727268	GSM2871709	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117935	SRX3436304	2018-04-12	3237	1989	SRR6337228	SRS2727268	GSM2871709	WT	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117934	SRX3436305	2018-04-13	41851	19228	SRR6337229	SRS2727269	GSM2871710	Cdh16CremTmG	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117933	SRX3436306	2018-04-13	43796	20107	SRR6337230	SRS2727270	GSM2871711	SclCremTmG	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
SAMN08117939	SRX3436307	2018-04-13	44496	19972	SRR6337231	SRS2727271	GSM2871712	Nphs2CremTmG	RNA-Seq	132	PRJNA420723	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-04-06	SRP125999	4-8 weeks	whole kidney tissue	C57BL/6	adult kidney
